Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
2022-04-13.LeeKA_2022.pathway_coverage,LeeKA 2022 Pathway Coverage,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.pathway_coverage.rda,curatedMetagenomicData
2022-04-13.LeeKA_2022.relative_abundance,LeeKA 2022 Relative Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/LeeKA_2022/2022-04-13.LeeKA_2022.relative_abundance.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.gene_families,PetersBA 2019 Gene Families,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.gene_families.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.marker_abundance,PetersBA 2019 Marker Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.marker_abundance.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.marker_presence,PetersBA 2019 Marker Presence,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.marker_presence.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.pathway_abundance,PetersBA 2019 Pathway Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.pathway_abundance.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.pathway_coverage,PetersBA 2019 Pathway Coverage,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.pathway_coverage.rda,curatedMetagenomicData
2022-04-13.PetersBA_2019.relative_abundance,PetersBA 2019 Relative Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/PetersBA_2019/2022-04-13.PetersBA_2019.relative_abundance.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.gene_families,WindTT 2020 Gene Families,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.gene_families.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.marker_abundance,WindTT 2020 Marker Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.marker_abundance.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.marker_presence,WindTT 2020 Marker Presence,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.marker_presence.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.pathway_abundance,WindTT 2020 Pathway Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.pathway_abundance.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.pathway_coverage,WindTT 2020 Pathway Coverage,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.pathway_coverage.rda,curatedMetagenomicData
2022-04-13.WindTT_2020.relative_abundance,WindTT 2020 Relative Abundance,3.15,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,curatedMetagenomicData/2022-04-13/WindTT_2020/2022-04-13.WindTT_2020.relative_abundance.rda,curatedMetagenomicData
